"job.id","problem","algorithm","n_subjects","n_timepoints","prop_observed","observation_variance","random_effect_variance","random_effect_ar1_correlation","effect_size","seed","selection","boot","adaptive","estimate_variance_components","random_effect","kernel_scale","lambda","name"
1,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,1,"aic",FALSE,1,FALSE,FALSE,0.3,-1,"independent"
2,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,1,"aic",FALSE,1,FALSE,TRUE,0.3,-1,"proxy"
3,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,1,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"local"
4,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,1,"aic",FALSE,1,TRUE,TRUE,0.3,-1,"estimated"
5,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,1,"aic",FALSE,1,TRUE,TRUE,0.3,0,"dense"
6,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,2,"aic",FALSE,1,FALSE,FALSE,0.3,-1,"independent"
7,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,2,"aic",FALSE,1,FALSE,TRUE,0.3,-1,"proxy"
8,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,2,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"local"
9,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,2,"aic",FALSE,1,TRUE,TRUE,0.3,-1,"estimated"
10,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,2,"aic",FALSE,1,TRUE,TRUE,0.3,0,"dense"
11,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,3,"aic",FALSE,1,FALSE,FALSE,0.3,-1,"independent"
12,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,3,"aic",FALSE,1,FALSE,TRUE,0.3,-1,"proxy"
13,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,3,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"local"
14,"synthetic_ar","LSVCMM",60,11,0.8,0.2,0,0.95,1,3,"aic",FALSE,1,TRUE,TRUE,0.3,-1,"estimated"
